session_id,persona,reference_query,best_prediction,best_pred_number,best_similarity,avg_similarity,ranked_predictions,all_similarities,best_sbert_similarity,avg_sbert_similarity,all_sbert_similarities
0,Academic Researcher,Using Fuzzy,fuzzy logic applications,2,0.2606,0.226,fuzzy logic applications | fuzzy function approximators | fuzzy systems function approximation | function approximators in fuzzy logic | fuzzy systems types and architectures,P1=0.1943(Rank4) | P2=0.2606(Rank1) | P3=0.1943(Rank5) | P4=0.2203(Rank3) | P5=0.2606(Rank2),0.805,0.6797,P1=0.6388 | P2=0.805 | P3=0.6476 | P4=0.615 | P5=0.6922
57,Academic Researcher,Electron Transport Properties of Atomic Carbon Nanowires between Graphene Electrodes,carbon nanowire synthesis methods,5,0.0877,0.0175,carbon nanowire synthesis methods | Sr2FeMoO6 thickness range | superconductor nanowire interactions | Sr2MnMoO6 compounds | MoOx electronic conductivity studies,P1=0.0(Rank2) | P2=0.0(Rank3) | P3=0.0(Rank4) | P4=0.0(Rank5) | P5=0.0877(Rank1),0.6541,0.3154,P1=0.0742 | P2=0.4564 | P3=0.0918 | P4=0.3003 | P5=0.6541
58,Student Researcher,BSO volume 11 issue 2 Cover and Front matter,elj volume academic overview,5,0.0987,0.0197,elj volume academic overview | journal topic keywords | educational performance studies | academic journal publications | educational journal topics,P1=0.0(Rank2) | P2=0.0(Rank3) | P3=0.0(Rank4) | P4=0.0(Rank5) | P5=0.0987(Rank1),0.1551,0.0408,P1=0.077 | P2=-0.0994 | P3=0.0185 | P4=0.0526 | P5=0.1551
59,Academic Researcher,Two-dimensional optics with surface plasmon polaritons,surface plasmon interactions,3,0.2911,0.2133,surface plasmon interactions | surface plasmon polariton applications | surface plasmon resonance properties | core shell nanoparticles surface plasmon | core shell Fe3O4 plasmon resonance,P1=0.0935(Rank5) | P2=0.2379(Rank2) | P3=0.2911(Rank1) | P4=0.2061(Rank4) | P5=0.2379(Rank3),0.8058,0.5901,P1=0.3541 | P2=0.8058 | P3=0.6539 | P4=0.4947 | P5=0.6418
60,Student Researcher,RRL about Academic Outcomes of Students Learning in Covered Court Settings Due to Classroom Shortages,learning outcomes in AI,2,0.2603,0.1229,learning outcomes in AI | alternative education settings for students | ai impact learning outcomes schools | ai education outcomes | author name ai educational tools,P1=0.084(Rank4) | P2=0.2603(Rank1) | P3=0.135(Rank2) | P4=0.135(Rank3) | P5=0.0(Rank5),0.4076,0.2808,P1=0.2768 | P2=0.2696 | P3=0.4076 | P4=0.3135 | P5=0.1366
61,Academic Researcher,Conceptual Analysis of Self-reliance in Older Adults in South Korea,ApoE genotype effects cognitive decline,1,0.0,0.0,ApoE genotype effects cognitive decline | ApoE cognition polymorphism | apoE cognitive decline effects study | apoE4 related gene expression | apoecognitive selfreliance,P1=0.0(Rank1) | P2=0.0(Rank2) | P3=0.0(Rank3) | P4=0.0(Rank4) | P5=0.0(Rank5),0.3649,0.1344,P1=0.1356 | P2=0.0814 | P3=0.1842 | P4=-0.0943 | P5=0.3649
62,Academic Researcher,Rapid characterization of plastics using laser-induced plasma spectroscopy (LIPS),lips characterization of polyolefins,3,0.3279,0.2116,lips characterization of polyolefins | lips degradability plastics | laser induced surface topography | plastics composition analysis lips | lipsc characterization techniques,P1=0.1943(Rank3) | P2=0.1037(Rank5) | P3=0.3279(Rank1) | P4=0.2377(Rank2) | P5=0.1943(Rank4),0.5717,0.4533,P1=0.4223 | P2=0.4168 | P3=0.3413 | P4=0.5145 | P5=0.5717
63,Healthcare & Life Sciences Researcher,The effect of narcotic analgesics on the central nervous system as an index of their drug addiction potential,Effects of pesticides on cognitive function,1,0.1535,0.0445,Effects of pesticides on cognitive function | cns pharmacology analgesics | environmental toxins and neuroscience | neurotoxic effects environmental pollutants | environmental toxins short term CNS effects,P1=0.1535(Rank1) | P2=0.0(Rank3) | P3=0.069(Rank2) | P4=0.0(Rank4) | P5=0.0(Rank5),0.5438,0.3671,P1=0.2896 | P2=0.3309 | P3=0.5438 | P4=0.3953 | P5=0.276
64,Academic Researcher,Epidemiology of chronic renal failure in children: a report from Sweden 1986 - 1994,epidemiology pediatric kidney disease sweden,4,0.1523,0.0432,epidemiology pediatric kidney disease sweden | chronic kidney disease childhood survival rates | pediatric cardiovascular complications | kidney health statistics | kidney function biomarkers,P1=0.0(Rank3) | P2=0.0(Rank4) | P3=0.0(Rank5) | P4=0.1523(Rank1) | P5=0.0636(Rank2),0.8158,0.5825,P1=0.4024 | P2=0.5706 | P3=0.4161 | P4=0.8158 | P5=0.7076
65,Academic Researcher,"Validation of a High-Resolution, Phase Contrast Cardiovascular Magnetic Resonance Sequence for Evaluation of Flow in Coronary Artery Bypass Grafts",phase contrast sequence optimization techniques,4,0.1833,0.1234,phase contrast sequence optimization techniques | phase contrast optimization techniques | phase contrast algorithm optimization | cellphone microscope phase contrast methods | mri sequence optimization algorithms,P1=0.0597(Rank5) | P2=0.1304(Rank2) | P3=0.1304(Rank3) | P4=0.1833(Rank1) | P5=0.113(Rank4),0.3816,0.3295,P1=0.3167 | P2=0.3577 | P3=0.3456 | P4=0.3816 | P5=0.246
66,Healthcare & Life Sciences Researcher,Prevalence and Incidence of Hepatitis C Virus Infection Among Young Adult Injection Drug Users,hepatitis c prevention in injecting drug users,2,0.2105,0.0574,hepatitis c prevention in injecting drug users | liver disease hepatitis studies | viral replication mechanisms | nash treatment compounds | nash treatment options,P1=0.0764(Rank2) | P2=0.2105(Rank1) | P3=0.0(Rank3) | P4=0.0(Rank4) | P5=0.0(Rank5),0.7996,0.2778,P1=0.399 | P2=0.7996 | P3=0.073 | P4=0.0538 | P5=0.0635
67,Academic Researcher,Probiotics normalize the gut-brain-microbiota axis in immunodeficient mice,probiotics immunodeficient mice model,5,0.3279,0.1374,probiotics immunodeficient mice model | gut microbiota normalization studies | probiotics childhood mental health | probiotic therapy in animal models | microbiome research tools childhood mental health,P1=0.0773(Rank4) | P2=0.0(Rank5) | P3=0.1943(Rank2) | P4=0.0877(Rank3) | P5=0.3279(Rank1),0.795,0.6273,P1=0.6514 | P2=0.4581 | P3=0.6306 | P4=0.6015 | P5=0.795
68,Academic Researcher,Specific amplification of Aspergillus fumigatus DNA by polymerase chain reaction,aspergillus dna sequences amplification,3,0.3279,0.17,aspergillus dna sequences amplification | dna polymerase l cells amplification | DNA polymerase assembly protocols | molecular markers for heat shock response | fungal gene regulation pathways,P1=0.1943(Rank3) | P2=0.0(Rank4) | P3=0.3279(Rank1) | P4=0.0(Rank5) | P5=0.3279(Rank2),0.8364,0.4923,P1=0.4911 | P2=0.1175 | P3=0.8364 | P4=0.4889 | P5=0.5276
69,Sustainability & Climate Researcher,food waste,food waste reduction strategies,1,0.5797,0.2898,food waste reduction strategies | sustainable food systems | rural food system sustainability | food cooperative community health impact | food coop impact local economy,P1=0.5797(Rank1) | P2=0.1943(Rank4) | P3=0.2606(Rank2) | P4=0.1943(Rank5) | P5=0.2203(Rank3),0.7747,0.4982,P1=0.7747 | P2=0.367 | P3=0.5403 | P4=0.3412 | P5=0.4679
70,Academic Researcher,ICC/PCR detection of enteroviruses and hepatitis A virus in environmental samples,hepatitis C virus genotypes,3,0.2256,0.1017,hepatitis C virus genotypes | hepatitis c virus clinical management | hcv pcr optimization | hcv genotype variability | hcv treatment options,P1=0.0(Rank4) | P2=0.0987(Rank3) | P3=0.2256(Rank1) | P4=0.0(Rank5) | P5=0.1844(Rank2),0.5238,0.421,P1=0.4507 | P2=0.5238 | P3=0.4314 | P4=0.3128 | P5=0.3861
71,Academic Researcher,Within-Network Classification Using Local Structure Similarity,local structure analysis brain-computer interface,4,0.1844,0.0725,local structure analysis brain-computer interface | stimulus independent bci neural network | neural networks vs statistical classification bci | bci stimulation frequencies | success rate neural networks BCI,P1=0.0846(Rank3) | P2=0.0(Rank4) | P3=0.0(Rank5) | P4=0.1844(Rank1) | P5=0.0935(Rank2),0.2974,0.1781,P1=0.2511 | P2=-0.0173 | P3=0.1823 | P4=0.2974 | P5=0.1768
72,Engineering & Tech Developer,Computation offloading in cloud-RAN based mobile cloud computing system,cloud computing geosciences implementations,1,0.2834,0.2319,cloud computing geosciences implementations | geoscience cloud computing alternatives | cloud computing frameworks for geoscience applications | cloud geoscience tools | cloud geo computational resources,P1=0.2834(Rank1) | P2=0.202(Rank4) | P3=0.2197(Rank3) | P4=0.1708(Rank5) | P5=0.2834(Rank2),0.4236,0.3799,P1=0.4024 | P2=0.2818 | P3=0.4145 | P4=0.4236 | P5=0.377
73,Healthcare & Life Sciences Researcher,Update on obstructive sleep apnea for neuro-ophthalmology,treatment options for obstructive sleep apnea neuro,5,0.5056,0.3589,treatment options for obstructive sleep apnea neuro | obstructive sleep apnea complications | obstructive sleep apnea treatment outcomes | obstructive sleep apnea neuroophthalmology complications | obstructive sleep apnea eye problems treatment,P1=0.3171(Rank3) | P2=0.2798(Rank5) | P3=0.3171(Rank4) | P4=0.3748(Rank2) | P5=0.5056(Rank1),0.9163,0.7802,P1=0.7184 | P2=0.8038 | P3=0.9163 | P4=0.7192 | P5=0.7435
74,Academic Researcher,Machine Learning-Guided Protein Engineering,machine learning protein design,2,0.5101,0.2971,machine learning protein design | protein engineering techniques | protein engineering methodologies | thermostable enzyme engineering | protein modification methods for lyases,P1=0.3563(Rank2) | P2=0.5101(Rank1) | P3=0.1506(Rank4) | P4=0.1123(Rank5) | P5=0.3563(Rank3),0.7987,0.5941,P1=0.6769 | P2=0.7987 | P3=0.4166 | P4=0.3935 | P5=0.6846
75,Student Researcher,Proper Strand Selection and the Academic Performance of the ABM Senior High School Students,abm senior high school academic performance impact,1,0.4187,0.0837,abm senior high school academic performance impact | mobile phone use on student learning outcomes | mobile phones in education research | teaching strategies by student subgroup | Mobile phone impact on learning outcomes,P1=0.4187(Rank1) | P2=0.0(Rank2) | P3=0.0(Rank3) | P4=0.0(Rank4) | P5=0.0(Rank5),0.6996,0.3686,P1=0.6996 | P2=0.2798 | P3=0.2165 | P4=0.3968 | P5=0.2502
76,Engineering & Tech Developer,Introduction to Additive Manufacturing,additive manufacturing software,4,0.4112,0.1405,additive manufacturing software | additive manufacturing orthopedic devices applications | am success stories orthopedic | metal 3D printing process | orthopaedic implants,P1=0.0(Rank3) | P2=0.0(Rank4) | P3=0.0(Rank5) | P4=0.4112(Rank1) | P5=0.2912(Rank2),0.845,0.4711,P1=0.0102 | P2=0.5876 | P3=0.1455 | P4=0.845 | P5=0.767
77,Academic Researcher,Towards Evolutionary Super-Resolution,deep learning super resolution techniques,1,0.2912,0.1104,deep learning super resolution techniques | medical image super-resolution dictionary improvement | medical image reconstruction | deeplearning medicalimaging | deep learning methods medim image sr,P1=0.2912(Rank1) | P2=0.2606(Rank2) | P3=0.0(Rank3) | P4=0.0(Rank4) | P5=0.0(Rank5),0.6961,0.4123,P1=0.6961 | P2=0.5452 | P3=0.2929 | P4=0.2015 | P5=0.3258
78,Academic Researcher,Resting‐State Brain Temperature: Dynamic Fluctuations in Brain Temperature and the Brain–Body Temperature Gradient,cylinder flow temperature gradient,4,0.2484,0.1269,cylinder flow temperature gradient | fluid dynamics with temperature gradient | brain temp during exercise | cylindrical surface roughness effects on flow | cylindrical surface roughness effect,P1=0.2152(Rank2) | P2=0.1708(Rank3) | P3=0.0(Rank4) | P4=0.2484(Rank1) | P5=0.0(Rank5),0.7142,0.2853,P1=0.3765 | P2=0.7142 | P3=-0.0163 | P4=0.3523 | P5=-0.0004
79,Academic Researcher,"Preparation, thermal properties and thermal reliabilities of microencapsulated n-octadecane with acrylic-based polymer shells for thermal energy storage",BaTiO3 CdS photocatalysis properties,4,0.0558,0.0112,BaTiO3 CdS photocatalysis properties | photo electric catalysis degradation efficiency | CdS nanocrystal synthesis | BaTiO3CdS hybrids | BaTiO3/CdS photocatalyst,P1=0.0(Rank2) | P2=0.0(Rank3) | P3=0.0(Rank4) | P4=0.0558(Rank1) | P5=0.0(Rank5),0.2255,0.1672,P1=0.1857 | P2=0.2255 | P3=0.0597 | P4=0.1984 | P5=0.1668
80,Academic Researcher,A Systematic Review of the Evidence of Hematopoietic Stem Cell Differentiation to Fibroblasts,stem cell differentiation mechanisms,1,0.2705,0.1128,stem cell differentiation mechanisms | hematopoietic stem cell signaling pathways | pericyte leydig cell interaction studies | pericyte function in cellular | pericyte development in male fertility,P1=0.2705(Rank1) | P2=0.0(Rank4) | P3=0.2288(Rank2) | P4=0.0649(Rank3) | P5=0.0(Rank5),0.6406,0.3402,P1=0.6222 | P2=0.1852 | P3=0.6406 | P4=0.109 | P5=0.1442
81,Academic Researcher,Water vapor mapping by fusing InSAR and GNSS remote sensing data and atmospheric simulations,GNSS InSAR atmospheric modeling,4,0.2511,0.0966,GNSS InSAR atmospheric modeling | GNSS InSAR fusion techniques | InSAR fusion techniques | short keyword works | existing works hydrognss,P1=0.1506(Rank2) | P2=0.0(Rank4) | P3=0.0812(Rank3) | P4=0.2511(Rank1) | P5=0.0(Rank5),0.6832,0.3295,P1=0.4565 | P2=-0.0216 | P3=0.3293 | P4=0.6832 | P5=0.2
82,Policy & Security Analyst,"""In five years, you will see enactment of national health insurance""",insurance industry response to national health,2,0.2316,0.0661,insurance industry response to national health | insurance innovation policy | healthcare policy usa | forward looking energy policy enactments | healthcare digitization,P1=0.0987(Rank2) | P2=0.2316(Rank1) | P3=0.0(Rank3) | P4=0.0(Rank4) | P5=0.0(Rank5),0.6765,0.4772,P1=0.5372 | P2=0.6765 | P3=0.5594 | P4=0.2928 | P5=0.3202
83,Healthcare & Life Sciences Researcher,Parvo virus B19,parvo virus disease,4,0.5031,0.2123,parvo virus disease | parvo virus treatment clinical trials | parvovirus b19 treatment | short keyword | parvovirus types,P1=0.3563(Rank2) | P2=0.0(Rank4) | P3=0.0(Rank5) | P4=0.5031(Rank1) | P5=0.202(Rank3),0.9068,0.6183,P1=0.6495 | P2=0.0491 | P3=0.7101 | P4=0.776 | P5=0.9068
84,Healthcare & Life Sciences Researcher,Nephropathy in Patients with Type 2 Diabetes,type 2 diabetes nephropathy compounds,1,0.4502,0.1828,type 2 diabetes nephropathy compounds | type 2 diabetes pill burden management | provial nephropathy subtype | diabetes medication mechanism of action | kidney damage treatment options,P1=0.4502(Rank1) | P2=0.2258(Rank2) | P3=0.1016(Rank4) | P4=0.1363(Rank3) | P5=0.0(Rank5),0.7857,0.5296,P1=0.7857 | P2=0.4246 | P3=0.3839 | P4=0.6591 | P5=0.3947
85,Academic Researcher,An Analysis and Design of Photonic Crystal-Based Biochip for Detection of Glycosuria,photonic crystal materials glycosuria,5,0.2603,0.1955,photonic crystal materials glycosuria | photonic crystal glycosuria sensing techniques | photonic crystal biosensor design optimization | biochip glycosuria gas sensing | photonic crystals for gas sensing applications,P1=0.2202(Rank2) | P2=0.1558(Rank4) | P3=0.1208(Rank5) | P4=0.2202(Rank3) | P5=0.2603(Rank1),0.8679,0.6568,P1=0.8679 | P2=0.6589 | P3=0.4381 | P4=0.5992 | P5=0.7197
86,Engineering & Tech Developer,Large Porous Particles for Pulmonary Drug Delivery,porous particle materials for pulmonary drug delivery,4,0.5586,0.3045,porous particle materials for pulmonary drug delivery | porous particle materials for pulmonary delivery | pulmonary drug delivery mechanisms | pulmonary particulates alginate matrix | high surface area materials,P1=0.106(Rank4) | P2=0.4074(Rank3) | P3=0.4503(Rank2) | P4=0.5586(Rank1) | P5=0.0(Rank5),0.9503,0.6539,P1=0.5079 | P2=0.6888 | P3=0.8986 | P4=0.9503 | P5=0.224
87,Healthcare & Life Sciences Researcher,Why Go NANO on COVID-19 Pandemic?,narrow nano treatment options COVID-19,5,0.3041,0.1296,narrow nano treatment options COVID-19 | COVID 19 treatment options | pediatric covid treatment protocols | pediatric vaccine administration protocols | nanoparticle covid19 delivery systems,P1=0.0(Rank4) | P2=0.106(Rank3) | P3=0.2379(Rank2) | P4=0.0(Rank5) | P5=0.3041(Rank1),0.7348,0.4854,P1=0.1778 | P2=0.3729 | P3=0.4926 | P4=0.6489 | P5=0.7348
88,Student Researcher,Smoking among breast cancer survivors,breast cancer survivors and smoking risks,4,0.5803,0.3359,breast cancer survivors and smoking risks | adjuvant therapies breast cancer | breast cancer treatment outcomes | breast cancer support outcomes | breast cancer patient outcomes and health,P1=0.2258(Rank5) | P2=0.2912(Rank2) | P3=0.2912(Rank3) | P4=0.5803(Rank1) | P5=0.2912(Rank4),0.9236,0.6094,P1=0.627 | P2=0.4262 | P3=0.5381 | P4=0.9236 | P5=0.5319
89,Academic Researcher,Comparative Therapeutic Exploitability of Acute Adaptation Mechanisms to Photon and Proton Irradiation in 3D Head and Neck Squamous Cell Carcinoma Cell Cultures,photon vs proton irradiation effects on head and neck squamous cell carcinoma,3,0.4698,0.1402,photon vs proton irradiation effects on head and neck squamous cell carcinoma | effectiveness aldehydes on proton vs photon irradiation | radiation therapy modulation mechanisms | radiation response mechanisms cellular signaling | hnscc molecular targets radiation,P1=0.0535(Rank3) | P2=0.0(Rank5) | P3=0.4698(Rank1) | P4=0.0472(Rank4) | P5=0.1306(Rank2),0.7949,0.5375,P1=0.5287 | P2=0.359 | P3=0.7949 | P4=0.4909 | P5=0.5139
90,Academic Researcher,Increased Adsorption of Heavy Metal Ions in Multi-Walled Carbon Nanotubes with Improved Dispersion Stability,carbon nanotube dispersion agents,1,0.1558,0.0724,carbon nanotube dispersion agents | carbon based materials adsorption mechanisms | mwcnt dispersion improvement strategies | functional groups p-aminobenzoic cellulose | cellulose adsorbent materials,P1=0.1558(Rank1) | P2=0.0(Rank4) | P3=0.135(Rank2) | P4=0.071(Rank3) | P5=0.0(Rank5),0.592,0.3524,P1=0.592 | P2=0.0788 | P3=0.5812 | P4=0.2267 | P5=0.2831
91,Academic Researcher,Aryl Hydrocarbon Receptor Activation during Influenza Virus Infection Unveils a Novel Pathway of IFN-  Production by Phagocytic Cells,AHR ligand effects on phagocytic IFN- production,5,0.1641,0.0843,AHR ligand effects on phagocytic IFN- production | influenza ahr signaling pathway | AHR CD8+ T cells Th differentiation | transcription factor roles in cd4+ t cells | AHR interactions with TLR4,P1=0.0531(Rank4) | P2=0.1458(Rank2) | P3=0.0587(Rank3) | P4=0.0(Rank5) | P5=0.1641(Rank1),0.6239,0.3548,P1=0.1743 | P2=0.6239 | P3=0.198 | P4=0.1738 | P5=0.604
92,Academic Researcher,Recent developments at the ISOL facility of GSI Darmstadt,leptogenesis experiments,1,0.0,0.0,leptogenesis experiments | testable leptogenesis models | leptogenesis validated studies | leptogenesis framework | leptogenesis models,P1=0.0(Rank1) | P2=0.0(Rank2) | P3=0.0(Rank3) | P4=0.0(Rank4) | P5=0.0(Rank5),-0.0443,-0.069,P1=-0.0443 | P2=-0.0671 | P3=-0.0819 | P4=-0.0781 | P5=-0.0734
93,Healthcare & Life Sciences Researcher,spinal tuberculosis,spinal tuberculosis treatment options,2,0.5797,0.3802,spinal tuberculosis treatment options | modern treatments spinal tuberculosis | tuberculosis progression studies | spinal tb treatment | tuberculosis bone infection therapy,P1=0.2606(Rank3) | P2=0.5797(Rank1) | P3=0.2606(Rank4) | P4=0.2203(Rank5) | P5=0.5797(Rank2),0.8407,0.739,P1=0.6247 | P2=0.8001 | P3=0.8064 | P4=0.6233 | P5=0.8407
94,Academic Researcher,A genetic algorithm framework for test generation,genetic algorithm neural networks optimization,4,0.2258,0.1158,genetic algorithm neural networks optimization | genetic optimization models | genetic alg hyperparam tuning | genetic algorithms neural networks bp | bp neural network optimization techniques,P1=0.1363(Rank2) | P2=0.1152(Rank3) | P3=0.1016(Rank4) | P4=0.2258(Rank1) | P5=0.0(Rank5),0.5796,0.4522,P1=0.5796 | P2=0.4132 | P3=0.4891 | P4=0.532 | P5=0.2471
95,Academic Researcher,Bivalirudin versus unfractionated heparin during percutaneous coronary intervention in high-bleeding-risk patients with acute coronary syndrome in contemporary practice,percutaneous coronary bleeds,1,0.2307,0.1193,percutaneous coronary bleeds | anticoagulant bleeding risk score | improve bleeding risk score validation studies | validation studies for bleeding risk scores | bivalirudin mortality outcome PCI,P1=0.2307(Rank1) | P2=0.0558(Rank5) | P3=0.0943(Rank3) | P4=0.1216(Rank2) | P5=0.0943(Rank4),0.5334,0.4599,P1=0.5334 | P2=0.4344 | P3=0.4279 | P4=0.4901 | P5=0.4138
96,Academic Researcher,Identification of A Novel FRK-ROS1 Fusion Variant in Advanced Non-Small Cell Lung Cancer with Brain Metastases and Remarkable Response to Crizotinib,imunotherapy small cell lung cancer,5,0.2602,0.1478,imunotherapy small cell lung cancer | lung cancer rare mutations non small | FRK ROS1 mutation in NSCLC cell lines | crizotinib efficacy by tumor biology | CRISPR therapy for NSCLC,P1=0.2256(Rank2) | P2=0.2019(Rank3) | P3=0.0514(Rank4) | P4=0.0(Rank5) | P5=0.2602(Rank1),0.5989,0.4524,P1=0.4813 | P2=0.5489 | P3=0.5989 | P4=0.2247 | P5=0.408
97,Engineering & Tech Developer,Robust color texture features based on ranklets and discrete Fourier transform,texture analysis algorithms,5,0.0987,0.0197,texture analysis algorithms | data processing pipelines | FTIR spectroscopy methods | image processing techniques | FTIR spectroscopy imaging,P1=0.0(Rank2) | P2=0.0(Rank3) | P3=0.0(Rank4) | P4=0.0(Rank5) | P5=0.0987(Rank1),0.6079,0.2802,P1=0.0642 | P2=0.1438 | P3=0.4019 | P4=0.1833 | P5=0.6079
98,Engineering & Tech Developer,Surface Layer Properties of Low-Alloy High-Speed Steel after Grinding,High speed steel properties after thermal treatment,3,0.4071,0.1684,High speed steel properties after thermal treatment | high speed steel grinding optimization techniques | material properties analysis | hydrogen storage materials | plasma facing material hydrogen retention,P1=0.0(Rank4) | P2=0.336(Rank2) | P3=0.4071(Rank1) | P4=0.0987(Rank3) | P5=0.0(Rank5),0.7015,0.3686,P1=0.1301 | P2=0.7015 | P3=0.5744 | P4=0.2744 | P5=0.1625
99,Academic Researcher,Towards security requirements management for software product lines: a security domain requirements engineering process.,tropos framework security,2,0.165,0.0939,"tropos framework security | , tropos works security | tropos security framework implementation | tropos framework | secure tropos framework implementations",P1=0.0(Rank4) | P2=0.165(Rank1) | P3=0.0(Rank5) | P4=0.1395(Rank3) | P5=0.165(Rank2),0.3051,0.2119,P1=0.0239 | P2=0.276 | P3=0.2484 | P4=0.3051 | P5=0.2059
100,Engineering & Tech Developer,Energy Scavenging for Wireless Sensor Networks,energy harvesting wireless sensor networks,1,0.5803,0.3436,energy harvesting wireless sensor networks | wireless sensor network energy efficiency | implementation challenges wireless sensor networks | energy harvesting wireless sensors | mobile sensor network protocols,P1=0.5803(Rank1) | P2=0.3809(Rank2) | P3=0.3809(Rank3) | P4=0.2606(Rank4) | P5=0.1152(Rank5),0.838,0.6665,P1=0.838 | P2=0.7279 | P3=0.5513 | P4=0.7983 | P5=0.4171
101,Healthcare & Life Sciences Researcher,Why is pain management so difficult in the Emergency Department? A systematic mixed studies review and thematic synthesis of staff perceptions of enablers and barriers to pain management within the Emergency Department,pain management protocols emergency department,4,0.3823,0.2477,pain management protocols emergency department | effective pain management tools emergency departments | pain management interventions | pain management tools | pain management medication reviews,P1=0.1821(Rank5) | P2=0.2228(Rank3) | P3=0.2286(Rank2) | P4=0.3823(Rank1) | P5=0.2228(Rank4),0.7613,0.6226,P1=0.4661 | P2=0.6005 | P3=0.7613 | P4=0.7541 | P5=0.5312
102,Academic Researcher,Effective Field Theory in Nuclear Physics,effective field theory nuclear physics calculations,1,0.7168,0.4731,effective field theory nuclear physics calculations | effective field theory nuclear structure | effective field theory nuclear matrix elements | Effective Field Theory models | nuclear shell model calculations,P1=0.7168(Rank1) | P2=0.5803(Rank2) | P3=0.4502(Rank4) | P4=0.1152(Rank5) | P5=0.5031(Rank3),0.9185,0.7747,P1=0.9175 | P2=0.9185 | P3=0.7613 | P4=0.4685 | P5=0.8079
103,Healthcare & Life Sciences Researcher,The Year in Valvular Heart Disease,coronary heart disease studies,1,0.2606,0.0973,coronary heart disease studies | coronary heart valve disease hcmv | HCMV Infection Pathway | hcmv cd14 cd16 monocyte | causes cardiovascular HCMV infection,P1=0.2606(Rank1) | P2=0.0(Rank3) | P3=0.2258(Rank2) | P4=0.0(Rank4) | P5=0.0(Rank5),0.4458,0.3074,P1=0.4265 | P2=0.1522 | P3=0.4458 | P4=0.1298 | P5=0.3826
104,Academic Researcher,Property-Based Software Engineering Measurement.,property based software engineering measurement techniques,3,0.8466,0.4179,property based software engineering measurement techniques | property based software metrics | software engineering anti patterns | property based testing methodologies | pbeso measurement techniques,P1=0.2912(Rank3) | P2=0.2912(Rank4) | P3=0.8466(Rank1) | P4=0.5101(Rank2) | P5=0.1506(Rank5),0.9564,0.596,P1=0.4612 | P2=0.5559 | P3=0.9564 | P4=0.8052 | P5=0.2014
105,Healthcare & Life Sciences Researcher,Editorial: Occupational epidemiology,epilepsy occupational epidemiology properties,3,0.4112,0.1568,epilepsy occupational epidemiology properties | epilepsy epidemiology studies | epilepsy occupational health outcomes | epilepsy compound drug treatment | epilepsy occupation risk factor analysis,P1=0.202(Rank2) | P2=0.0(Rank4) | P3=0.4112(Rank1) | P4=0.0(Rank5) | P5=0.1708(Rank3),0.6492,0.3981,P1=0.3142 | P2=0.0042 | P3=0.6492 | P4=0.4598 | P5=0.5633
106,Healthcare & Life Sciences Researcher,Mini-invasive surgery for colorectal cancer,obesity colorectal cancer,1,0.3188,0.161,obesity colorectal cancer | colorectal cancer treatment protocols | obesity colorectal cancer drug targets | obesity treatment options | obesity biology compounds,P1=0.3188(Rank1) | P2=0.2606(Rank2) | P3=0.2258(Rank3) | P4=0.0(Rank4) | P5=0.0(Rank5),0.6633,0.3893,P1=0.5534 | P2=0.6633 | P3=0.4762 | P4=0.2241 | P5=0.0295
107,Academic Researcher,Persisting Neutralizing Activity to SARS-CoV-2 over Months in Sera of COVID-19 Patients,SARS CoV 2 neutralizing antibodies,1,0.2705,0.1352,SARS CoV 2 neutralizing antibodies | sars cov 2 long term immune | geriatric physical activity SARS-CoV2 | exercise protocols for COVID-19 recovery | longtermexerciseprotocols,P1=0.2705(Rank1) | P2=0.1254(Rank4) | P3=0.1401(Rank2) | P4=0.1401(Rank3) | P5=0.0(Rank5),0.7241,0.4984,P1=0.6904 | P2=0.4638 | P3=0.7241 | P4=0.5874 | P5=0.0265
108,Engineering & Tech Developer,An Energy Efficient Decentralized Detection Of System For Structural Health Monitoring In Wireless Sensor And Actuator Networks,energy efficient wireless sensor network protocols,3,0.2604,0.1768,energy efficient wireless sensor network protocols | energy efficient routing protocols for multihop wireless | energy efficient wireless mesh protocol | wireless sensor node localization methods | multihop wireless mac protocol design,P1=0.233(Rank2) | P2=0.1263(Rank4) | P3=0.2604(Rank1) | P4=0.2055(Rank3) | P5=0.0587(Rank5),0.4321,0.3213,P1=0.2903 | P2=0.3835 | P3=0.4321 | P4=0.336 | P5=0.1646
109,Academic Researcher,Ethnicity and variation in prognosis for patients newly hospitalised for heart failure: a matched historical cohort study,ethnicity heart failure prognosis,2,0.3555,0.2224,ethnicity heart failure prognosis | heart failure ethnicity studies | ethnicity heart failure treatment outcome | genetic factors heart failure ethnicity | korean heart failure diagnosis criteria,P1=0.1225(Rank5) | P2=0.3555(Rank1) | P3=0.2355(Rank2) | P4=0.1992(Rank3) | P5=0.1992(Rank4),0.8987,0.7665,P1=0.5594 | P2=0.8987 | P3=0.829 | P4=0.7828 | P5=0.7628
