session_id,persona,reference_query,best_prediction,best_pred_number,best_similarity,avg_similarity,ranked_predictions,all_similarities,best_sbert_similarity,avg_sbert_similarity,all_sbert_similarities
62,Academic Researcher,accelerated lipid domain growth Takatori,takatori lipid domain simulation,2,0.5101,0.3781,takatori lipid domain simulation | Takatori lipid domain acceleration methods | Takatori membrane lipid growth dynamics | membrane domain dynamics Takatori | Takatori phase field lipid membrane works,P1=0.2912(Rank4) | P2=0.5101(Rank1) | P3=0.4316(Rank2) | P4=0.2258(Rank5) | P5=0.4316(Rank3),0.7855,0.6981,P1=0.5999 | P2=0.7278 | P3=0.7399 | P4=0.6372 | P5=0.7855
63,Academic Researcher,"""Langen"" laser cooling 2024",langen laser cooling 2024,4,1.0,0.5673,langen laser cooling 2024 | laser cooling molecules Langen | laser cooling methods | laser cooling experiments | laser cooling applications,P1=0.4112(Rank3) | P2=0.4112(Rank4) | P3=0.4112(Rank5) | P4=1.0(Rank1) | P5=0.603(Rank2),0.9837,0.8083,P1=0.7397 | P2=0.762 | P3=0.7582 | P4=0.9837 | P5=0.7978
64,Engineering & Tech Developer,Sesmic Retrofitting of Existing RC Buildings,seismic retrofitting rc building design,5,0.2258,0.0866,seismic retrofitting rc building design | ai seism retrofitting techniques | seismic retrofitting ai model implementation details | pedicitive modeling techniques | ai seismic modeling,P1=0.0(Rank4) | P2=0.0(Rank5) | P3=0.0919(Rank3) | P4=0.1152(Rank2) | P5=0.2258(Rank1),0.7795,0.4185,P1=0.089 | P2=0.2878 | P3=0.427 | P4=0.5094 | P5=0.7795
65,Engineering & Tech Developer,A Robotics-based Learning Environment Supporting Computational Thinking Skills — Design and Development,robotics development platforms,3,0.2256,0.192,robotics development platforms | robotics learning platforms | robotics development tools | software development for robotics | educational tech robotics,P1=0.1844(Rank4) | P2=0.0987(Rank5) | P3=0.2256(Rank1) | P4=0.2256(Rank2) | P5=0.2256(Rank3),0.6854,0.5618,P1=0.4913 | P2=0.6381 | P3=0.5057 | P4=0.6854 | P5=0.4885
66,Academic Researcher,quantum Quantum Experiments at Space Scale,quantum experiments in space,1,0.5685,0.2853,quantum experiments in space | quantum satellite technology | quantum computing applications | quantum error correction techniques | qess experiments satellite,P1=0.5685(Rank1) | P2=0.2606(Rank2) | P3=0.1167(Rank5) | P4=0.2606(Rank3) | P5=0.2203(Rank4),0.8552,0.5885,P1=0.8552 | P2=0.5593 | P3=0.4691 | P4=0.546 | P5=0.5129
67,Student Researcher,The Relationship between the Academic Preparedness on the Testmanship Skills of Students Theory,academic preparedness testmanship skills,1,0.3449,0.2083,academic preparedness testmanship skills | testmanship skills | testmanship academic performance relationship | testmanship skills keywords | testmanship skill theoretical frameworks,P1=0.3449(Rank1) | P2=0.2371(Rank2) | P3=0.1682(Rank4) | P4=0.0628(Rank5) | P5=0.2286(Rank3),0.8496,0.7341,P1=0.8496 | P2=0.6983 | P3=0.6654 | P4=0.758 | P5=0.6994
68,Student Researcher,Studies about sex in food,sex education studies,2,0.3563,0.1295,sex education studies | sex in home cooking | home economics feminist perspective | home economics nutrition | home economics relationships,P1=0.0(Rank3) | P2=0.3563(Rank1) | P3=0.2912(Rank2) | P4=0.0(Rank4) | P5=0.0(Rank5),0.6068,0.351,P1=0.1475 | P2=0.5824 | P3=0.6068 | P4=0.3026 | P5=0.1158
69,Student Researcher,The Impact of Online Games Addiction to Academic Performance of HUMSS Students,online games addiction effects on humss students,3,0.3502,0.2726,online games addiction effects on humss students | online games humss students philippines | online gaming addiction impact on students | online game addiction effects on humss students | online gaming impact on student behavior,P1=0.2605(Rank4) | P2=0.3358(Rank2) | P3=0.3502(Rank1) | P4=0.2911(Rank3) | P5=0.1254(Rank5),0.9386,0.8321,P1=0.9324 | P2=0.6694 | P3=0.9386 | P4=0.8398 | P5=0.7805
70,Student Researcher,attention span of children,child attention span studies,3,0.3361,0.2154,child attention span studies | attention span teaching strategies | child attention span by book size | learning strategies for children | big books reading comprehension,P1=0.0(Rank5) | P2=0.1444(Rank4) | P3=0.3361(Rank1) | P4=0.3361(Rank2) | P5=0.2606(Rank3),0.8895,0.6165,P1=0.2819 | P2=0.4835 | P3=0.8895 | P4=0.6714 | P5=0.756
71,Student Researcher,Food Safety awareness,food safety awareness topics,1,0.7765,0.5394,food safety awareness topics | food safety practices | food safety guidelines | food safety nutrition | food safety consumer behavior,P1=0.7765(Rank1) | P2=0.5031(Rank2) | P3=0.5031(Rank3) | P4=0.4112(Rank5) | P5=0.5031(Rank4),0.9253,0.8519,P1=0.9253 | P2=0.8785 | P3=0.8379 | P4=0.8253 | P5=0.7926
72,Student Researcher,French influence on West Africa,author west africa works,4,0.2912,0.1821,author west africa works | French neo-colonisation of West african economic systems | colonial legacy africa | West african resistance | West african history theories,P1=0.1506(Rank3) | P2=0.1506(Rank4) | P3=0.1909(Rank2) | P4=0.2912(Rank1) | P5=0.1274(Rank5),0.7088,0.6199,P1=0.5718 | P2=0.5532 | P3=0.7088 | P4=0.6244 | P5=0.6413
73,Engineering & Tech Developer,mixing zeolite with banana fiber,zeolite banana fiber properties,2,0.5101,0.3011,zeolite banana fiber properties | zeolite banana fiber products | banana fiber chemical properties | zeolite applications | sustainable composite materials,P1=0.1943(Rank4) | P2=0.5101(Rank1) | P3=0.0(Rank5) | P4=0.5101(Rank2) | P5=0.2912(Rank3),0.8614,0.624,P1=0.6169 | P2=0.8614 | P3=0.1925 | P4=0.8505 | P5=0.5987
74,Healthcare & Life Sciences Researcher,Are anxiety disorders genetically,anxiety genetics,4,0.2203,0.1667,anxiety genetics | anxiety gene therapy | anxiety genetic markers | anxiety gene transfer mechanism | anxiety genetic transfer clinical trials,P1=0.1708(Rank2) | P2=0.1708(Rank3) | P3=0.1444(Rank4) | P4=0.2203(Rank1) | P5=0.1274(Rank5),0.8961,0.7803,P1=0.7396 | P2=0.826 | P3=0.7177 | P4=0.8961 | P5=0.7221
75,Academic Researcher,Memory consolidation processes European Mathematical Society,memory consolidation models european math society,5,0.5031,0.3675,memory consolidation models european math society | memory consolidation mathematical models | european mathematical society models | memory consolidation models | memory research computational approaches,P1=0.4502(Rank2) | P2=0.3188(Rank4) | P3=0.1152(Rank5) | P4=0.4502(Rank3) | P5=0.5031(Rank1),0.9569,0.7092,P1=0.8186 | P2=0.7367 | P3=0.5351 | P4=0.4989 | P5=0.9569
76,Student Researcher,Mnemonic device Research Scientist,mnemonic device types,2,0.4112,0.3544,mnemonic device types | mnemonic modeling research | mnemonic device abm | mnemonic device examples | Agent Based Modeling Mnemonic Devices,P1=0.1274(Rank5) | P2=0.4112(Rank1) | P3=0.4112(Rank2) | P4=0.4112(Rank3) | P5=0.4112(Rank4),0.8537,0.7812,P1=0.6839 | P2=0.8078 | P3=0.7753 | P4=0.7851 | P5=0.8537
77,Student Researcher,sleepless minds:late night thoughts and mental health of Senior High School Students,mental health senior high student issues,4,0.304,0.1377,mental health senior high student issues | self esteem and mental health | mental health effects self esteem | self esteem impact academic performance | literature review self esteem academic achievement,P1=0.0(Rank4) | P2=0.2386(Rank2) | P3=0.1458(Rank3) | P4=0.304(Rank1) | P5=0.0(Rank5),0.5708,0.4047,P1=0.3238 | P2=0.4189 | P3=0.3969 | P4=0.5708 | P5=0.313
78,Business & Economics Researcher,Pineapple peels stain removal,pineapple peel stain removal effectiveness,5,0.5101,0.1795,pineapple peel stain removal effectiveness | pineapple peel bleach alternatives | pineapple peel cleaning solutions | how much does pineapple peel natural bleach cost | natural synthetic bleach alternatives,P1=0.1444(Rank2) | P2=0.0(Rank5) | P3=0.0987(Rank4) | P4=0.1444(Rank3) | P5=0.5101(Rank1),0.9641,0.7034,P1=0.7549 | P2=0.2971 | P3=0.6702 | P4=0.8309 | P5=0.9641
79,Sustainability & Climate Researcher,ocean acidification open dataset,ocean acidification dataset types,1,0.603,0.3804,ocean acidification dataset types | ocean acidification technologies | ocean acidification mitigation strategies | ocean acidification impacts mitigation strategies | ocean acidification effects on marine life,P1=0.603(Rank1) | P2=0.3361(Rank3) | P3=0.4112(Rank2) | P4=0.2912(Rank4) | P5=0.2606(Rank5),0.9276,0.7601,P1=0.9276 | P2=0.7185 | P3=0.75 | P4=0.7096 | P5=0.6946
80,Engineering & Tech Developer,Wafer-scale Fabrication of Non-Polar Mesoporous GaN Distributed Bragg Reflectors,mesoporous GaN DBR fabrication techniques,3,0.2624,0.1749,mesoporous GaN DBR fabrication techniques | fabrication techniques GaN nanostructures | GaN DBR fabrication techniques | giant GaN nanocolumns fabrication techniques | nanoporous GaN DBRs techniques,P1=0.1844(Rank2) | P2=0.0834(Rank5) | P3=0.2624(Rank1) | P4=0.1597(Rank4) | P5=0.1844(Rank3),0.6515,0.5497,P1=0.5931 | P2=0.4866 | P3=0.6515 | P4=0.5117 | P5=0.5054
81,Engineering & Tech Developer,quantum,quantum technology applications,1,0.4494,0.4078,quantum technology applications | quantum detection instruments | quantum physics applications examples | quantum physics application maps | quantum light detection systems,P1=0.4494(Rank1) | P2=0.38(Rank3) | P3=0.4494(Rank2) | P4=0.38(Rank4) | P5=0.38(Rank5),0.6523,0.6076,P1=0.6523 | P2=0.6214 | P3=0.6386 | P4=0.5749 | P5=0.5508
82,Policy & Security Analyst,Indian Agriculture policy,indian agriculture policy indian public,4,0.8178,0.3909,indian agriculture policy indian public | indian agriculture initiatives | indian politician | indian agricultural policies | Narendra Modi energy policy,P1=0.2606(Rank3) | P2=0.202(Rank4) | P3=0.1708(Rank5) | P4=0.8178(Rank1) | P5=0.5031(Rank2),0.9637,0.711,P1=0.4518 | P2=0.9607 | P3=0.2951 | P4=0.9637 | P5=0.8835
83,Healthcare & Life Sciences Researcher,spontaneous twin live ectopic pregnancy,twin ectopic pregnancy treatment outcomes,2,0.4316,0.3042,twin ectopic pregnancy treatment outcomes | ectopic pregnancy causes | ectopic pregnancy diagnosis criteria | ectopic pregnancy treatment protocols | pregnancy outcomes statistics,P1=0.1506(Rank5) | P2=0.4316(Rank1) | P3=0.3563(Rank2) | P4=0.2912(Rank3) | P5=0.2912(Rank4),0.7806,0.5948,P1=0.2691 | P2=0.7806 | P3=0.6974 | P4=0.6343 | P5=0.5928
84,Student Researcher,Study Habits and Academic Performance 2020 to 2025  research studies,study habits academic performance 2020-2025,1,0.657,0.3207,study habits academic performance 2020-2025 | study habits academic performance papers | study habits outcomes | study habits impact factors | study efficiency strategies,P1=0.657(Rank1) | P2=0.411(Rank2) | P3=0.1037(Rank5) | P4=0.2377(Rank3) | P5=0.1943(Rank4),0.9413,0.729,P1=0.9413 | P2=0.7395 | P3=0.5262 | P4=0.7144 | P5=0.7238
85,Engineering & Tech Developer,Mimo antenna treated by laser,mimo antenna materials,5,0.3563,0.2402,mimo antenna materials | mimo antenna freq lasers | laser treated antennas high ghz | dual polarization antenna | antenna beamforming algorithms,P1=0.1506(Rank4) | P2=0.2523(Rank3) | P3=0.1506(Rank5) | P4=0.2912(Rank2) | P5=0.3563(Rank1),0.7786,0.5578,P1=0.3147 | P2=0.6885 | P3=0.3394 | P4=0.7786 | P5=0.6676
86,Student Researcher,foley ethics film sound,sound effects ethics in film,4,0.5101,0.2997,sound effects ethics in film | foley sound techniques | foley techniques in film education | foley art applications | foley techniques for creating realistic sounds,P1=0.1152(Rank5) | P2=0.1708(Rank4) | P3=0.2912(Rank3) | P4=0.5101(Rank1) | P5=0.4112(Rank2),0.783,0.6575,P1=0.6169 | P2=0.5663 | P3=0.662 | P4=0.783 | P5=0.6594
87,Student Researcher,Affordability and Accessibility of Carinderia food,food pricing carinderia tanauan city,1,0.2258,0.1742,food pricing carinderia tanauan city | consumer perception of local food | consumer behavior studies carinderia food | carinderia types tanauan city consumers | carinderia survey methods for qualitative analysis,P1=0.2258(Rank1) | P2=0.0919(Rank5) | P3=0.2258(Rank2) | P4=0.1016(Rank4) | P5=0.2258(Rank3),0.7251,0.5852,P1=0.5877 | P2=0.5284 | P3=0.5195 | P4=0.5652 | P5=0.7251
88,Sustainability & Climate Researcher,Radiography Animals Evora Universidade,medical imaging animals evora,2,0.3361,0.1686,medical imaging animals evora | evora radiography animal images | animal radiography ai | renewable energy sources | sustainable conservation practices climate change birds,P1=0.0(Rank4) | P2=0.3361(Rank1) | P3=0.1708(Rank3) | P4=0.3361(Rank2) | P5=0.0(Rank5),0.858,0.5122,P1=0.0657 | P2=0.6957 | P3=0.7729 | P4=0.858 | P5=0.1688
89,Sustainability & Climate Researcher,chalcone,chalcone properties,1,0.5797,0.3478,chalcone properties | chalcone applications | chalcone pharmacology | natural compounds with medicinal properties | renewable energy technologies,P1=0.5797(Rank1) | P2=0.0(Rank4) | P3=0.5797(Rank2) | P4=0.0(Rank5) | P5=0.5797(Rank3),0.793,0.5376,P1=0.7743 | P2=0.2532 | P3=0.7773 | P4=0.09 | P5=0.793
90,Sustainability & Climate Researcher,Climate Institute,climate institute policy,5,0.7093,0.23,climate institute policy | renewable energy climate change | climate change mitigation strategies | renewable energy policy frameworks | renewable energy options,P1=0.0(Rank4) | P2=0.2203(Rank2) | P3=0.0(Rank5) | P4=0.2203(Rank3) | P5=0.7093(Rank1),0.8057,0.4287,P1=0.2627 | P2=0.4318 | P3=0.2137 | P4=0.4294 | P5=0.8057
91,Engineering & Tech Developer,acid azo)-8-hydroxy,benzoic acid azo reaction mechanism,3,0.3563,0.2692,benzoic acid azo reaction mechanism | benzoic acid azo compound characteristics | azo compounds | azo compound synthesis | azo dye properties applications,P1=0.2606(Rank3) | P2=0.202(Rank4) | P3=0.3563(Rank1) | P4=0.1708(Rank5) | P5=0.3563(Rank2),0.6879,0.5912,P1=0.6879 | P2=0.6494 | P3=0.5571 | P4=0.4885 | P5=0.5729
92,Engineering & Tech Developer,Gas condensate reservoirs,tight gas reservoirs vs condensate,3,0.657,0.206,tight gas reservoirs vs condensate | gas reservoir engineering | tight gas reservoir formation | drilling optimization techniques | piston ring design,P1=0.1708(Rank3) | P2=0.0(Rank4) | P3=0.657(Rank1) | P4=0.0(Rank5) | P5=0.202(Rank2),0.8781,0.5415,P1=0.6996 | P2=0.2209 | P3=0.8781 | P4=0.2444 | P5=0.6643
93,Business & Economics Researcher,marketing methods in small businesses,marketing ideas for small businesses,3,0.4316,0.2446,marketing ideas for small businesses | effective marketing strategies small business | marketing techniques | marketing statistics | effective marketing strategies,P1=0.1506(Rank5) | P2=0.1943(Rank3) | P3=0.4316(Rank1) | P4=0.1943(Rank4) | P5=0.2523(Rank2),0.8724,0.7664,P1=0.7502 | P2=0.8063 | P3=0.8362 | P4=0.5668 | P5=0.8724
94,Academic Researcher,An Analogous Study of Leo Tolstoy and Fyodor Dostoevsky with their  Perceptions of Reality: Revisiting Tolstoy and Dostoevsky,tolstoy dostoevsky comparative realism,3,0.2485,0.1466,tolstoy dostoevsky comparative realism | tolstoy tolstoy brothers karamazov | dostoevsky themes | dostoevsky brothers karamazov analysis | tolstoy_dostoevsky_realism,P1=0.0(Rank5) | P2=0.1103(Rank4) | P3=0.2485(Rank1) | P4=0.1683(Rank3) | P5=0.2059(Rank2),0.8113,0.7184,P1=0.8113 | P2=0.6218 | P3=0.8014 | P4=0.6752 | P5=0.6821
95,Academic Researcher,Bose-Einstein machine learning vortex detection,vortex detection machine learning BEC,3,0.5803,0.2536,vortex detection machine learning BEC | bose einstein condensate vortex detection methods | broadening search to more machine learning techniques | BoseEinsteinMachineLearning | boson wavefunction measurements,P1=0.1844(Rank3) | P2=0.5031(Rank2) | P3=0.5803(Rank1) | P4=0.0(Rank4) | P5=0.0(Rank5),0.832,0.5272,P1=0.2283 | P2=0.832 | P3=0.7296 | P4=0.5084 | P5=0.3377
96,Engineering & Tech Developer,SWAT recurrent neural network streamflow 2024,swat network architecture,5,0.3188,0.1714,swat network architecture | SWAT implementatons in streamflow | BiLSTM SWAT | SWAT BiLSTM RNN optimization techniques | lstm models for hydrology,P1=0.1758(Rank3) | P2=0.0(Rank5) | P3=0.2606(Rank2) | P4=0.1016(Rank4) | P5=0.3188(Rank1),0.6592,0.5268,P1=0.4305 | P2=0.414 | P3=0.6592 | P4=0.6436 | P5=0.4869
97,Healthcare & Life Sciences Researcher,zinc in diarrhea prevention,zinc studies diarrhea prevention,2,0.603,0.3721,zinc studies diarrhea prevention | zinc based treatment diarrhea prevention | zinc analogs diarrhea | antimicrobial compounds diarrhea prevention | dietary fiber,P1=0.0(Rank5) | P2=0.603(Rank1) | P3=0.4112(Rank3) | P4=0.3361(Rank4) | P5=0.5101(Rank2),0.9719,0.7191,P1=0.2068 | P2=0.9719 | P3=0.9077 | P4=0.5417 | P5=0.9672
98,Academic Researcher,"""two-state reactivity""",recovalent two-state reactivity,1,0.7765,0.7765,recovalent two-state reactivity | two-state reactivity mechanisms | two-state reactivity definition | two state reactivity theory | two state reactivity mechanism,P1=0.7765(Rank1) | P2=0.7765(Rank2) | P3=0.7765(Rank3) | P4=0.7765(Rank4) | P5=0.7765(Rank5),0.9611,0.8618,P1=0.7572 | P2=0.8695 | P3=0.9611 | P4=0.8721 | P5=0.8489
99,Business & Economics Researcher,Malaysia badminton market analysis,malaysia badminton market competitors,5,0.603,0.2509,malaysia badminton market competitors | malaysian badminton market trends | malaysian badminton brands | malaysian badminton industry overview | malaysian sports equipment brands,P1=0.1708(Rank3) | P2=0.1444(Rank4) | P3=0.0(Rank5) | P4=0.3361(Rank2) | P5=0.603(Rank1),0.9138,0.7499,P1=0.6939 | P2=0.8371 | P3=0.4279 | P4=0.9138 | P5=0.877
100,Engineering & Tech Developer,Ardruino based tempreture control and monitoring,ardruino iot control scripts,3,0.2606,0.1273,ardruino iot control scripts | ardruino temperature control circuits | Arduino control systems examples | arduino iot sensor integration | arduino project ideas,P1=0.1152(Rank3) | P2=0.0(Rank4) | P3=0.2606(Rank1) | P4=0.0(Rank5) | P5=0.2606(Rank2),0.7745,0.4371,P1=0.3798 | P2=0.288 | P3=0.4894 | P4=0.2538 | P5=0.7745
101,Student Researcher,possible variables of expenses of students,other variables of student expenses,2,0.481,0.1501,other variables of student expenses | student expenses variables | student expense categories | student expense costs | student costs,P1=0.0(Rank3) | P2=0.481(Rank1) | P3=0.0(Rank4) | P4=0.0(Rank5) | P5=0.2695(Rank2),0.9359,0.8279,P1=0.7771 | P2=0.9359 | P3=0.7932 | P4=0.71 | P5=0.9235
102,Academic Researcher,Radiography in exotic animals University of Evora 2018,evora veterinary radiography exotic animals author,4,0.4112,0.2453,evora veterinary radiography exotic animals author | evora 2018 radiography birds | evora radiography birds techniques | evora bird radiography protocol | psittacine radiographic findings,P1=0.0(Rank5) | P2=0.3748(Rank2) | P3=0.2203(Rank3) | P4=0.4112(Rank1) | P5=0.2203(Rank4),0.8063,0.6559,P1=0.2889 | P2=0.755 | P3=0.7305 | P4=0.8063 | P5=0.6989
103,Sustainability & Climate Researcher,radiography of psittacines,radiography techniques in psittacines,5,0.4112,0.1568,radiography techniques in psittacines | bird radiography studies | radiography bird lung disease | renewable energy systems | psittacine x ray imaging,P1=0.0(Rank4) | P2=0.202(Rank2) | P3=0.1708(Rank3) | P4=0.0(Rank5) | P5=0.4112(Rank1),0.9714,0.4946,P1=-0.0502 | P2=0.4193 | P3=0.3964 | P4=0.7359 | P5=0.9714
104,Student Researcher,"""Custos"" radiografia ""Evora"" 2018",custos radiografia evora 2017,1,0.603,0.3091,custos radiografia evora 2017 | Custos radiografia aves vet | evora veterinary medicine custos authors | bird radiography custos | evora veterinary psittacines radiography,P1=0.603(Rank1) | P2=0.1708(Rank4) | P3=0.3361(Rank2) | P4=0.1444(Rank5) | P5=0.2912(Rank3),0.9095,0.5842,P1=0.9095 | P2=0.4689 | P3=0.6107 | P4=0.4264 | P5=0.5055
105,Student Researcher,Evora 2018 thesis,psittacines evora 2018,5,0.5031,0.2622,psittacines evora 2018 | evora psittacines authors | psittacines evora researchers | psittacines thesis Portugal | psittacines evora discipline,P1=0.202(Rank2) | P2=0.202(Rank3) | P3=0.202(Rank4) | P4=0.202(Rank5) | P5=0.5031(Rank1),0.5075,0.438,P1=0.4879 | P2=0.4599 | P3=0.2991 | P4=0.4358 | P5=0.5075
106,Academic Researcher,"""late 2018"" Evora radiography",evora radiography 2018,3,0.7765,0.5423,evora radiography 2018 | evora late radiography | evora keyword radiography | evora radiography works | evora 2018 radiology results,P1=0.3361(Rank5) | P2=0.4112(Rank3) | P3=0.7765(Rank1) | P4=0.7765(Rank2) | P5=0.4112(Rank4),0.927,0.8316,P1=0.7956 | P2=0.7757 | P3=0.927 | P4=0.8727 | P5=0.787
107,Sustainability & Climate Researcher,extraction method CO2 rosemary morocco Rosmarinus officinalis L,extraction method rosemary,4,0.5246,0.4057,extraction method rosemary | rosemary extracts CO2 Morocco | rosemary extraction technique morocco | rosemary extraction methods in morocco | sustainable rosemary extraction methods morocco,P1=0.3446(Rank4) | P2=0.3446(Rank5) | P3=0.4074(Rank2) | P4=0.5246(Rank1) | P5=0.4074(Rank3),0.8018,0.7815,P1=0.7951 | P2=0.7796 | P3=0.7639 | P4=0.7673 | P5=0.8018
108,Sustainability & Climate Researcher,longifolene Oppolzer synthesis,oppolzer longifolene synthesis,1,1.0,0.535,oppolzer longifolene synthesis | longifolene synthesis | longifolene synthesis yield | longifolene properties | longifolene bioactive compounds,P1=1.0(Rank1) | P2=0.202(Rank5) | P3=0.7093(Rank2) | P4=0.5031(Rank3) | P5=0.2606(Rank4),0.9869,0.811,P1=0.9869 | P2=0.7087 | P3=0.8693 | P4=0.8457 | P5=0.6446
109,Academic Researcher,Investigating the Change-Proneness of Service Patterns and Antipatterns.,api design patterns and antipatterns,4,0.2953,0.0739,api design patterns and antipatterns | semantic analysis restful apis linguistic patterns | restful api linguistic analysis | linguistic pattern detection api designs | linguistic features api design,P1=0.0(Rank3) | P2=0.0(Rank4) | P3=0.0(Rank5) | P4=0.2953(Rank1) | P5=0.074(Rank2),0.3837,0.2168,P1=0.1351 | P2=0.221 | P3=0.1076 | P4=0.3837 | P5=0.2368
110,Academic Researcher,A mixed-integer bilevel programming approach for a competitive prioritized set covering problem.,mixed-integer bilevel programming techniques,2,0.3876,0.3014,mixed-integer bilevel programming techniques | mixed integer bilevel linear programming | mixed integer set covering optimization | multi param bilevel programming | optimization algorithms for quadratic programming,P1=0.1597(Rank5) | P2=0.3876(Rank1) | P3=0.3876(Rank2) | P4=0.3876(Rank3) | P5=0.1844(Rank4),0.7606,0.6057,P1=0.3956 | P2=0.6711 | P3=0.6665 | P4=0.7606 | P5=0.5345
111,Engineering & Tech Developer,Prolog Control Rules.,prolog control flow rules,4,0.7765,0.4424,prolog control flow rules | prolog control flow testing | prolog control rule optimization | prolog control flow implementation | prolog testing tools,P1=0.4112(Rank2) | P2=0.202(Rank5) | P3=0.4112(Rank3) | P4=0.7765(Rank1) | P5=0.4112(Rank4),0.924,0.8042,P1=0.7585 | P2=0.6542 | P3=0.8577 | P4=0.924 | P5=0.8266
112,Student Researcher,pine trees,types of pine trees,1,0.5797,0.3244,types of pine trees | pine tree benefits | pine tree biology | pine tree nutrition | trees health benefits,P1=0.5797(Rank1) | P2=0.2606(Rank2) | P3=0.2606(Rank3) | P4=0.2606(Rank4) | P5=0.2606(Rank5),0.8356,0.7163,P1=0.8046 | P2=0.7316 | P3=0.8356 | P4=0.6698 | P5=0.5399
113,Student Researcher,class size Higher education 2021,higher education class size 2020,1,0.6694,0.4644,higher education class size 2020 | class size higher education research papers | class size trends 2021 | class size effects | class size effects on student learning outcomes,P1=0.6694(Rank1) | P2=0.5803(Rank2) | P3=0.5101(Rank3) | P4=0.2061(Rank5) | P5=0.3563(Rank4),0.9559,0.7391,P1=0.9559 | P2=0.7257 | P3=0.7197 | P4=0.7062 | P5=0.5879
114,Student Researcher,use of microsoft mathematics software for studying secondary level calculus in schools,case studies on microsoft mathematics in schools,2,0.2853,0.2051,case studies on microsoft mathematics in schools | microsoft mathematics calculus teaching resources | calculus software evaluation for teachers students | calculus education software reviews | educational software alternatives,P1=0.1758(Rank4) | P2=0.2853(Rank1) | P3=0.2496(Rank2) | P4=0.2203(Rank3) | P5=0.0943(Rank5),0.7463,0.6796,P1=0.6716 | P2=0.699 | P3=0.7463 | P4=0.7427 | P5=0.5386
115,Student Researcher,parent's identitystyle and identity of adolescents,adolescent identity development,2,0.1363,0.0503,adolescent identity development | parental identity adolescent development | parental influence adolescent development | parenting styles in adolescence | adolescent development parenting styles,P1=0.1152(Rank2) | P2=0.1363(Rank1) | P3=0.0(Rank3) | P4=0.0(Rank4) | P5=0.0(Rank5),0.8655,0.6783,P1=0.8655 | P2=0.8065 | P3=0.6078 | P4=0.5615 | P5=0.5504
116,Engineering & Tech Developer,brazed joint strength,brazed joint strength in practice,1,0.657,0.4971,brazed joint strength in practice | brazed joint materials | brazed joint applications | brazed joint application areas | brazed joint material properties,P1=0.657(Rank1) | P2=0.4112(Rank4) | P3=0.5031(Rank2) | P4=0.4112(Rank5) | P5=0.5031(Rank3),0.9502,0.8203,P1=0.9502 | P2=0.7171 | P3=0.8034 | P4=0.7925 | P5=0.8382
117,Student Researcher,artificial intelligThe benefits and drawbacks of artificial intelligence robots in daily life and their impact on life.ence robots in daily life,daily life applications of artificial intelligence robots,5,0.5369,0.142,daily life applications of artificial intelligence robots | ai robots pros cons | ai robotics impact on society | ai robot datasets | ai robot types,P1=0.0(Rank4) | P2=0.0831(Rank3) | P3=0.0901(Rank2) | P4=0.0(Rank5) | P5=0.5369(Rank1),0.8037,0.6032,P1=0.4761 | P2=0.5988 | P3=0.5941 | P4=0.5432 | P5=0.8037
118,Business & Economics Researcher,Business calculations and statistics,international business statistics calculations,4,0.603,0.3,international business statistics calculations | business ratio calculations | global trade statistics | business market index | international trade economics statistics,P1=0.1708(Rank3) | P2=0.4112(Rank2) | P3=0.1708(Rank4) | P4=0.603(Rank1) | P5=0.1444(Rank5),0.7867,0.5559,P1=0.4353 | P2=0.6851 | P3=0.4261 | P4=0.7867 | P5=0.4464
